所属组织,团员数,第n期大学习参与人数,第n期大学习参与率
研究生20级1班团支部,25,0,
研究生20级2班团支部,54,0,
研究生20级3班团支部,23,0,
研究生20级4班团支部,43,0,
研究生20级5班团支部,23,0,
研究生20级6班团支部,43,0,
研究生20级7班团支部,36,0,
研究生20级8班团支部,32,0,
研究生20级9班团支部,18,0,
研究生20级10班团支部,26,0,
研究生20级11班团支部,31,0,
研究生20级12班团支部,40,0,
研究生20级13班团支部,42,0,
研究生20级14班团支部,35,0,
研究生20级15班团支部,29,0,
研究生20级16班团支部,28,0,
研究生20级17班团支部,53,0,
研究生20级18班团支部,50,0,
研究生20级19班团支部,35,0,
研究生20级20班团支部,56,0,
研究生20级21班团支部,42,0,
研究生20级22班团支部,52,0,
研究生20级23班团支部,33,0,
研究生20级24班团支部,80,0,
研究生20级25班团支部,53,0,
研究生20级26班团支部,39,0,
研究生20级27班团支部,40,0,
研究生20级28班团支部,27,0,
研究生20级29班团支部,61,0,
研究生20级30班团支部,57,0,
研究生20级31班团支部,42,0,
研究生20级32班团支部,74,0,
研究生19级1班团支部,47,0,
研究生19级2班团支部,27,0,
研究生19级3班团支部,28,0,
研究生19级4班团支部,26,0,
研究生19级5班团支部,23,0,
研究生19级6班团支部,24,0,
研究生19级7班团支部,34,0,
研究生19级8团支部,31,0,
研究生19级9班团支部,24,0,
研究生19级10团支部,20,0,
研究生19级11团支部,34,0,
研究生19级12班团支部,44,0,
研究生19级13团支部,28,0,
研究生19级14团支部,15,0,
研究生19级15团支部,26,0,
研究生19级16团支部,31,0,
研究生19级17团支部,16,0,
研究生19级18班团支部,18,0,
研究生19级19班团支部,42,0,
研究生19级20班团支部,12,0,
研究生19级21班团支部,25,0,
研究生19级22班团支部,26,0,
研究生19级23班团支部,26,0,
研究生19级24班团支部,40,0,
研究生19级25班团支部,19,0,
研究生19级26班团支部,52,0,
研究生19级27班团支部,174,0,
